,NI: Not indicated,,,Forage resources (description of level of resources provided where indicated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvaceae,Waltheria indica,Yes,Perennial hairy herb,Yes (Medium),Yes (Medium),Flowering from November to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvaceae,Anisodontea scabmsa.,Yes,Perennial shrub,Uncertain source,Yes (Medium),Flowering from September to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvaceae,Dombeya torrida,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),"Flowering from October to December, Sept-Nov",NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvaceae,Dombeya rotundifolia,Yes,Perennial tree,Yes (Abundant),Yes (Medium),Flowering from July to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvaceae,Dombeya goetzenii,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvaceae,Sterculia Africana,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvaceae,Hibiscus asper,Yes,Annual to perennial shrub,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvaceae,Adansonia digitata,Yes,Perennial tree,NI,Yes (Abundant),Flowering from May to July and April-June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvaceae,Ceiba pentandra,No,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering at any time of the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvaceae,Sparrmannia ricinocarpa,Yes,Perennial tree,Yes (Medium),Yes (Poor),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvaceae,Sida acuta,Yes,Annual/perennial herb ,Yes (Poor),Yes (Poor),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvaceae,Trochetiopsis erythroxylon,No,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from April to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvaceae,Sida parvifolia,Yes,Perennial herb,Yes (Abundant),Uncertain source,Flowering from January to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meliaceae,Ekebergia capensis,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from November to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meliaceae,Cedrela toona,No,Perennial tree,no to poor/minor source (sept-Nov),Yes (Abundant),Flowering from September to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meliaceae,Carapa grandiflora,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meliaceae,Melia azedarach,No,Perennial tree,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meliaceae,Trichilia emetica,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melianthaceae,Bersama abyssinica,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from December to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moringaceae,Moringa stenopetala,Yes,Perennial tree,Yes (Medium),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moringaceae,Moringa oleifera ,No,Perennial tree,Yes (Medium),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myricaceae,Myrica cordifolia,Yes,Perennial shrub,uncertain,Yes (Abundant),Flowering from May to October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ochnaceae,Ochna arborea,Yes,Perennial shrub to medium size tree,Yes (Medium),Yes (Medium),Flowering from August to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ochnaceae,Ochna pretoriensis,Yes,Perennial shrub or small tree,Yes (Abundant),Yes (Poor),Flowering from September to October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ochnaceae,Ochna pulchra,Yes,Perennial tree ,Yes (Abundant),Yes (Abundant),Flowering from August to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oleaceae,Olea capensis subsp. hochstetteri,Yes,Perennial tree ,Yes (Abundant),Yes (Abundant),Flowering from January to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oleaceae,Olea europaea subsp. cuspidata,No,Perennial tree ,Yes (Abundant),Yes (Abundant),Flowering from April to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oleaceae,Ligustrum lucidum,No,Perennial tree ,Yes (Abundant),Yes (Abundant),Flowering from October to February and april to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oleaceae,Jasminum abyssinicum,Yes,Perennial shrub,Yes (Medium),Yes (Poor),Flowering from June to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oleaceae,Jasminum glaucum,Yes,Perennial shrub,Yes (Medium),Yes (Poor),Flowering from June to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oleaceae,Ligustrum ibota,No,Perennial shrub,Yes (Medium),Yes (Abundant),Flowering from october to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oleaceae,Jasminum fluminense,Yes,Perennial shrub,Yes (Medium),Yes (Abundant),Flowering from october to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penaeaceae,Olinia rochetiana,Yes,Perennial Shrubs to large trees ,Yes (Abundant),Yes (Abundant),Flowering from August to March and October to November,Other insect pollinators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penaeaceae,Olinia emarginata,Yes,Perennial Shrubs to large trees ,Yes (Abundant),Yes (Abundant),Flowering from August to March and October to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penaeaceae,Olinia  ventosa,Yes,Perennial Shrubs to large trees ,Yes (Abundant),Yes (Abundant),Flowering from August to March and October to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penaeaceae,Olinia rachetiana,Yes,Perennial Shrubs to large trees ,Yes (Abundant),Yes (Abundant),Flowering from August to March and October to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onagraceae,Fuchsia magellanica,No,"Perennial, deciduous shrub",NI,Yes (Abundant),Flowering from August to March and October to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onagraceae,Ludwigia decurrens,No,Annual or short-lived perennial herb,NI,Yes (Abundant),Flowering from July to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onagraceae,Ludwigia abyssinica,Yes,Annual or occasionally perennial herb,NI,Yes (Abundant),Flowering from July to January and April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onagraceae,Fuchsia hybrida,No,Perrenial shrub,Yes (Abundant),Yes (Poor),Flowering throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onagraceae,Ludwigia stolonifera,Yes,Perennial herb,Yes (Abundant),Uncertain source,Flowering throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phytolaccaceae,Phytolacca dodecandra,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from December to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phytolaccaceae,Phytolacca dioica,No,Perennial semi-evergreen tree,Yes (Medium),Yes (Abundant),Flowering from August to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittosporaceae,Pittosporum eugenioides,No,Ornamental shrub or tree,Yes (Medium),Yes (Abundant),Flowering from September to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittosporaceae,Pittosporum viridiflorum,Yes,Perennial shrub or tree,Yes (Medium),Yes (Abundant),Flowering from September to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittosporaceae,Pittosporum undulatum,No,Perennial shrub or small tree,Yes (Poor),Yes (Medium),Flowering from September to October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poaceae,Urochloa panicoides,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering from November to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poaceae,Brachiaria deflexa,Yes,Perennial herb,Uncertain source,NI,Flowering from November to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poaceae,Heteropogon contortus,Yes,Perennial herb,Yes (Abundant),NI,Flowering from November to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poaceae,Bambusa balcooa,No,Perennial tree,Yes (Abundant),No (do not provide nectar),Flowering from April to May after the small rains,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygalaceae,Securidaca longepedunculata,Yes,Tree or shrub,Yes (Abundant),Yes (Abundant),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygalaceae,Polygala myrtifolia,Yes,Perennial shurb,Yes (Medium),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygalaceae,Polygala fruticosa,Yes,Perennial shurb,Yes (Poor),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygalaceae,Polygala virgata,Yes,Perennial shurb,Yes (Poor),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonaceae,Polygonum aubertii,No,large woody perennial shrub,Yes (Poor),Yes (Medium),Flowering from December to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonaceae,Antigonon leptopus,No,Perennial vine,No (do not provide pollen),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonaceae,Homalocladium platycladum,No,Perennial shrub ,Uncertain source,Yes (Abundant),Flowering from May to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonaceae,Persicaria attenuata,No,Perennial shrub,Yes (Abundant),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonaceae,Persicaria capitata,No,Perennial herb,Yes (Poor),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonaceae,Rumex nepalensis,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonaceae,Rumex sagittatus,Yes,Perennial herb,Yes (Medium),No (do not provide nectar),Flowering from March to May and September to october,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonaceae,Rumex usambarensis,Yes,Perennial herb,Yes (Abundant),No (do not provide nectar),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonaceae,Oxygonum sinuatum,Yes,Perennial herb,NI,NI,Flowering from November to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonaceae,Oxygonum schliebenii,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering from January to August,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Grevillea robusta,No,Semi-perennial tree,Yes (Abundant),Yes (Abundant),Flowering at any time of the year but most flower profusely after the rains from October to December and April to May,Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Protea madiensis,Yes,Perennial shrub or small tree,NI,Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Faurea rochetiana,Yes,Small to medium size perennial tree,Uncertain source,Yes (Abundant),Flowering from March to September,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Faurea saligna,Yes,Semi-Perennial tree,Yes (Medium),Yes (Abundant),Flowering from August to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Grevillea banksii,No,Perennial shrub or tree ,Yes (Poor),Yes (Abundant),Flowering all year round,Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Grevillea caleyi,No,Perennial shrub or tree ,Yes (Poor),Yes (Abundant),Flowering all year round,Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Grevillea juniperina,No,Perennial shrub or tree ,Yes (Poor),Yes (Abundant),Flowering all year round,Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Grevillea rosmarinifolia,No,Perennial shrub or tree ,Yes (Poor),Yes (Abundant),Flowering all year round,Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Grevillea speciosa or Grevillea punicea,No,Perennial shrub or tree ,Yes (Poor),Yes (Abundant),Flowering all year round,Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Hakea salicifolia,No,Perennial shurb,Uncertain source,Yes (Medium),Flowering from August to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Leucadendron brunioides,Yes,Perennial shurb,Yes (Abundant),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Leucadendron daphnoides,Yes,Perennial shurb,Yes (Abundant),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Leucadendron laureolum,Yes,Perennial shurb,Yes (Abundant),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Leucadendron sessile,Yes,Perennial shurb,Yes (Abundant),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Leucadendron tinctum,Yes,Perennial shurb,Yes (Abundant),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Paranomus reflexus,Yes,Perennial shurb,Yes (Medium),Yes (Medium),Flowering from May to september,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Protea burchellii,Yes,Perennial shurb,Uncertain source,Yes (Abundant),Flowering from June to August ,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Protea repens,Yes,Perennial shurb,Uncertain source,Yes (Abundant),Flowering from June to August ,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Protea nitida,Yes,Perennial shurb,Uncertain source,Yes (Abundant),Flowering from June to August ,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Protea caffra,Yes,Perennial shurb,Yes (Medium),Yes (Medium),Flowering from October to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Protea compacta,Yes,Perennial shurb,Uncertain source,Yes (Abundant),Protea compacta,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Protea cynaroides,Yes,Perennial shurb,Uncertain source,Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Protea gaguedi,Yes,Perennial shurb,Uncertain source,Yes (Medium),Flowering from August to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Protea neriifolia,Yes,Perennial shurb,Uncertain source,Yes (Medium),Flowering from February to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteaceae,Protea rubropilosa,Yes,Perennial shurb,Uncertain source,Yes (Medium),Flowering from August to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculaceae,Clematis paniculata,No,Perennial woody climber,Yes (Medium),Yes (Medium),Flowering from August to October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculaceae,Clematis vitalba,Yes,Perennial woody climber,uncertain,Yes (Medium),Flowering from December to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculaceae,Ranunculus multifidus,Yes,Perennial herb,Yes,Yes,Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculaceae,Clematis alpina,No,Deciduous perennial shrub ,Yes (Medium),Uncertain,Flowering from September to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculaceae,Clematis armandii,No,Deciduous perennial shrub ,Yes (Medium),Uncertain,Flowering from September to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculaceae,Clematis X jackmanii,No,Deciduous perennial shrub ,Yes (Medium),Uncertain,Flowering from September to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculaceae,Clematis montana,No,Deciduous perennial shrub ,Yes (Medium),Uncertain,Flowering from September to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculaceae,Clematis tangutica,No,Deciduous perennial shrub ,Yes (Medium),Uncertain,Flowering from September to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculaceae,Clematis brachiata,Yes,Deciduous perennial shrub ,Yes (Medium),Uncertain,Flowering from December to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resedaceae,Caylusea abyssinica,Yes,Annual to short-lived perennial plant,Yes (Abundant),Yes (Abundant),Flowering from July to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamnaceae,Berchemia zeyheri,Yes,Perennial tree,Yes (Poor),Yes (Abundant),Flowering from September to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamnaceae,Ziziphus mucronata,Yes,Perennial tree,Yes (Poor),Yes (Abundant),Flowering from September to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamnaceae,Ziziphus spina-christi,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamnaceae,Helinus integrifolius,Yes,Semi-woody perennial climber,Uncertain source,Yes (Abundant),Flowering from October to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamnaceae,Scutia myrtina,Yes,Perennial shrub,poor (Pollen collection rarely observed.),Yes (Abundant),Flowering from September to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
